eeschema (2013-05-31 BZR 4019)-stable  >> Creation date: 7/23/2013 3:09:43 PM
#Cmp ( order = Reference )
| 4.7nF        C21       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| 4.7nF        C22       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| 4.7nF        C23       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| 4.7nF        C24       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| 4.7nF        C25       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| 4.7nF        C26       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| 4.7nF        C27       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| 4.7nF        C28       ; Kemet       ; C0603C472K5RACTU; DigiKey     ; $0.10/1, $0.03/10, $0.0162/50;             ;             ;             ;             
| 0.1uF        C1        ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C6        ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C11       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C12       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C15       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C16       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C17       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C18       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C19       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C29       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C31       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C33       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C34       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C35       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 0.1uF        C36       ; Kemet       ; C0603C104K4RACTU; DigiKey     ; $0.10/1, $0.022/10, $0.0118/50;             ;             ;             ;             
| 1uF          C4        ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| 1uF          C5        ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| 1uF          C7        ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| 1uF          C9        ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| 1uF          C10       ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| 1uF          C13       ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| 1uF          C14       ; Kemet       ; C0603C105K8PACTU; DigiKey     ; $0.10/1, $0.039/10, $0.021/50;             ;             ;             ;             
| 2.2uF        C30       ; Kemet       ; C0603C225K8PACTU; DigiKey     ; $0.17/1, $0.113/10, $0.0676/50;             ;             ;             ;             
| 10uF         C3        ; Kemet       ; C0805C106Z8VACTU; DigiKey     ; $0.16/1, $0.111/10, $0.063/50;             ;             ;             ;             
| 10uF         C32       ; Kemet       ; C0805C106Z8VACTU; DigiKey     ; $0.16/1, $0.111/10, $0.063/50;             ;             ;             ;             
| 100uF        C8        ; Vishay Sprague; TL8A0107M010C; DigiKey     ; $1.35/1, $1.128/10;             ;             ;             ;             
| RED          D1        ; Kingbright Company LLC; APT1608SRCPRV; DigiKey     ; $0.17/1, $0.131/10, $0.1044/25;             ;             ;             ;             
